Estado sigla,Estado,Código estado, Taxa de desocupação das pessoas de 14 anos ou mais de idade (%)
RO,Rondônia,11,10.6
AC,Acre,12,14.2
AM,Amazonas,13,16.5
RR,Roraima,14,16.3
PA,Pará,15,9.1
AP,Amapá,16,11.4
TO,Tocantins,17,12.6
MA,Maranhão,21,16.0
PI,Piauí,22,12.7
CE,Ceará,23,12.1
RN,Rio Grande do Norte,24,15.0
PB,Paraíba,25,12.8
PE,Pernambuco,26,15.0
AL,Alagoas,27,17.8
SE,Sergipe,28,19.8
BA,Bahia,29,19.9
MG,Minas Gerais,31,12.9
ES,Espírito Santo,32,12.3
RJ,Rio de Janeiro,33,16.4
SP,São Paulo,35,13.6
PR,Paraná,41,9.6
SC,Santa Catarina,42,6.9
RS,Rio Grande do Sul,43,9.4
MS,Mato Grosso do Sul,50,11.4
MT,Mato Grosso,51,10.2
GO,Goiás,52,12.8
DF,Distrito Federal,53,15.6
